product_name,category,sub_category,times_ordered,total_revenue,total_profit,avg_discount_pct
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,3,11100.0,-8879.97,53.33
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,4,16830.0,-4589.97,40.0
"Motorola Smart Phone, Cordless",Technology,Phones,23,38935.0,-4447.04,11.83
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,1,8000.0,-3839.99,50.0
"Bevis Round Table, Adjustable Height",Furniture,Tables,5,5655.0,-3649.9,46.0
"Bevis Computer Table, Fully Assembled",Furniture,Tables,13,11176.0,-3509.55,35.31
"Rogers Lockers, Blue",Office Supplies,Storage,42,28215.0,-2893.5,14.36
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,5,9918.0,-2876.11,28.0
"Bevis Wood Table, with Bottom Storage",Furniture,Tables,10,11134.0,-2782.6,32.0
"Lesro Training Table, Rectangular",Furniture,Tables,5,2712.0,-2581.29,58.2
