year,order_month,total_orders,monthly_revenue,monthly_profit,avg_discount
2011,December,1263,333941.0,40647.94,0.148
2011,November,1139,298499.0,32709.1,0.157
2011,September,1052,290230.0,35776.9,0.131
2011,June,917,215214.0,23415.12,0.174
2011,August,878,207570.0,23713.64,0.138
2011,October,774,199070.0,25963.37,0.142
2011,May,566,146762.0,12183.86,0.146
2011,March,539,145726.0,15303.58,0.138
2011,April,564,116927.0,12902.31,0.143
2011,July,495,115518.0,5584.98,0.162
2011,January,433,98902.0,8321.76,0.159
2011,February,378,91152.0,12417.85,0.138
2012,December,1284,338245.0,32950.74,0.134
2012,November,1460,323512.0,31820.74,0.148
2012,August,1083,303158.0,43573.91,0.126
2012,September,1223,289390.0,27776.26,0.138
2012,June,1136,256181.0,34407.02,0.148
2012,October,990,252942.0,30662.87,0.137
2012,May,840,208370.0,29876.75,0.136
2012,March,662,163092.0,17992.87,0.154
2012,April,657,161060.0,17367.01,0.142
2012,July,659,145247.0,15585.43,0.158
2012,January,539,135775.0,10401.65,0.138
2012,February,429,100521.0,15000.05,0.146
2013,December,1602,405476.0,50202.78,0.14
2013,June,1530,396513.0,45478.26,0.14
2013,September,1682,376626.0,38905.61,0.143
2013,November,1596,373996.0,48063.04,0.135
2013,August,1442,326491.0,31023.61,0.141
2013,October,1100,293423.0,42433.27,0.146
2013,May,1057,260525.0,28495.59,0.145
2013,July,925,229940.0,28863.7,0.136
2013,January,709,199197.0,26810.56,0.129
2013,March,766,198591.0,23433.84,0.149
2013,April,785,177835.0,19462.13,0.148
2013,February,605,167247.0,25339.99,0.129
2014,November,2147,555312.0,62856.62,0.142
2014,December,2153,503154.0,46916.4,0.156
2014,September,2018,481186.0,67979.52,0.135
2014,August,1675,456633.0,53542.98,0.13
2014,October,1626,422785.0,58209.95,0.144
2014,June,1748,401843.0,43778.56,0.144
2014,May,1284,288404.0,33953.62,0.147
2014,March,1068,263110.0,37357.15,0.133
2014,July,1087,258718.0,28035.81,0.15
2014,April,1051,242781.0,23782.31,0.156
2014,January,918,241267.0,28001.38,0.139
2014,February,756,184848.0,19751.7,0.147
